Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason
0017-IUDMW,Female,-1.284226958530967,Yes,0.0,Sunnyvale,0.32312716956603976,0.47841399557697023,-1.0508293196174177,0.07294460502979132,1.614210213225845,Offer B,Yes,-0.6992927934197591,Yes,Yes,Fiber Optic,1.86688789927055,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,0.8347040273488249,1.7051140709410506,2.7255985737161508,0.0,0.0,0.5000795340121804,2.2979404924136264,0.677557161790749,-0.214217897152195,-0.326610557238493
0018-NYROU,Female,0.6860208118267975,Yes,0.0,Antelope,1.2694625304337954,1.0199654522743997,-0.7458330342479885,-0.6786996571864785,-1.115990684375644,Offer B,Yes,-0.5036576515011043,No,Yes,Fiber Optic,-1.0528672103934216,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,-0.833519714029658,0.17158446698121388,-0.8512050114800234,0.0,0.0,-0.7863419283594275,-0.9045139510535825,0.677557161790749,-0.214217897152195,-0.326610557238493
0019-EFAEP,Female,-0.8662956133035624,No,0.0,La Mesa,-0.8316497306618873,-1.3832705290858682,1.2721576001572836,-0.6786996571864785,1.614210213225845,Offer A,Yes,-1.718966866450325,Yes,Yes,Fiber Optic,-0.5523377630224551,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,-0.833519714029658,1.2083594447889612,2.19803080145718,0.0,0.0,-0.7028648355318363,1.534003355938439,0.677557161790749,-0.214217897152195,-0.326610557238493
0019-GFNTW,Female,-0.4483642680761578,No,0.0,Los Olivos,-0.02427539603424613,-0.6048051708223401,-0.12505677486463834,-0.6786996571864785,0.962221939171758,Offer B,No,0.01803606028197596,No,Yes,DSL,-0.3020730393369718,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,-0.833519714029658,-0.5943791178597497,0.12343838610355146,0.0,0.0,-0.899567221540124,-0.16534112231594938,0.677557161790749,-0.214217897152195,-0.326610557238493
0020-INWCK,Female,0.6860208118267975,Yes,0.0,Woodlake,-0.10775973350408229,0.10822473325625223,0.3074521840692004,2.1399663261245334,1.5734609460974645,Offer A,Yes,0.13437968634723674,Yes,Yes,Fiber Optic,-0.8860240612697661,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,0.8347040273488249,1.0304892399409553,2.0162835935902974,0.0,0.0,1.4504920378648165,2.0097946506827835,0.677557161790749,-0.214217897152195,-0.326610557238493
0020-JDNXP,Female,0.32779394448902216,Yes,0.0,Point Reyes Station,0.7917166766547975,0.7545545772966076,-1.4269145808148407,-0.6786996571864785,0.06573806234738858,Offer B,No,0.01803606028197596,No,Yes,DSL,-0.21865146477514405,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,0.8347040273488249,-0.07519041181692089,-0.12673155960419485,0.0,0.0,-0.899567221540124,-0.36343461824398215,0.677557161790749,-0.214217897152195,-0.326610557238493
0021-IKXGC,Female,1.5218835022816066,No,0.0,San Marcos,-0.7583989571399666,-1.2469559826434515,1.2025628645146722,-0.6786996571864785,-1.2789877528891658,Offer E,Yes,-1.309911569711319,Yes,Yes,Fiber Optic,-0.05180831565148853,No,No,No,No,No,No,No,Yes,One Year,Yes,-0.833519714029658,0.2725378264895414,-0.9745027409397947,0.0,0.0,-0.8901327922852821,-1.0320150178982122,-0.46080998765873704,-0.214217897152195,-0.326610557238493
0022-TCJCI,Male,1.9398148475090113,No,0.0,Daly City,0.28488595691856644,0.6008656750356247,-1.264754938254867,-0.6786996571864785,0.5139800007595733,Offer B,Yes,-1.0950093304824933,No,Yes,DSL,-0.4689161884606273,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,0.8347040273488249,-0.0287198177575318,0.22555397163322605,0.0,0.0,-0.3165632052322271,0.08329783874877418,-1.599177137108223,1.2885078495040896,2.20090298099571
0023-HGHWL,Male,1.2233611128334605,No,0.0,Morgan Hill,0.8353439755906473,0.3905165976434751,-0.8785739237825612,-0.6786996571864785,-1.2789877528891658,Offer B,No,0.01803606028197596,No,Yes,Cable,-1.1362887849552494,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,-0.833519714029658,-1.2337503947458257,-0.9952435902046811,0.0,0.0,-0.899567221540124,-1.0511534563740956,-1.599177137108223,-0.214217897152195,-0.045775719656914904
0023-UYUPN,Female,1.9398148475090113,Yes,0.0,Ahwahnee,0.06190198457977828,0.4773101996287838,0.007774632481719266,-0.6786996571864785,0.7177263364014754,Offer B,Yes,0.44339428551420307,Yes,No,Fiber Optic,-0.1352298902133163,No,No,No,No,No,No,No,Yes,One Year,No,-0.833519714029658,-1.230545526190006,-0.429856865137183,0.0,0.0,1.008567343966197,-0.054326298438129514,0.677557161790749,-0.214217897152195,-0.326610557238493
0023-XUOPT,Female,-1.2245224806413377,Yes,0.0,Carnelian Bay,1.4294292931985781,1.2273316476986795,-0.1555617416315116,-0.30287752607834356,-0.7899965473486005,Offer B,Yes,1.3422784792540843,Yes,Yes,Fiber Optic,1.86688789927055,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,-0.833519714029658,0.9776089087699262,-0.4698822912717616,0.0,0.0,-0.21198310333782083,-0.4372767730499653,-1.599177137108223,2.791233596160374,1.0775636306693976
0027-KWYKW,Female,-0.9857045690828209,Yes,0.0,Alpaugh,-0.15354146695528276,-0.13279123860977168,0.1197214917757291,-0.30287752607834356,-0.3825038760647962,Offer D,Yes,0.7012769725887936,Yes,Yes,Fiber Optic,0.6155642808431335,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,-0.833519714029658,0.6459050132425636,-0.1899470203955772,0.0,0.0,0.0753602278279894,-0.13292074032229453,0.677557161790749,-0.214217897152195,-0.326610557238493
0030-FNXPP,Female,-1.4633403921998547,No,0.0,Keeler,0.02366077193230495,0.14705526205664482,0.8328672324417569,-0.6786996571864785,-1.1974892186324049,Offer B,Yes,-1.6544961946816772,No,No,Fiber Optic,-0.1352298902133163,No,No,No,No,No,No,No,Yes,Month-to-Month,No,0.8347040273488249,-1.4020059939263723,-0.9810780314514289,0.0,0.0,-0.8882021947929785,-1.0366659694431093,-0.46080998765873704,-0.214217897152195,-0.326610557238493
0031-PVLZI,Female,-0.7468866575243039,Yes,0.0,Korbel,1.111650202184363,1.8507904346298627,-1.8790088090564239,-0.6786996571864785,-1.1567399515040244,Offer E,Yes,-0.9645859025367234,No,No,Fiber Optic,-0.1352298902133163,No,No,No,No,No,No,No,Yes,Month-to-Month,No,0.8347040273488249,-1.3859816511472725,-0.9726272386126508,0.0,0.0,-0.83919658800721,-1.01587121914733,-1.599177137108223,4.293959342816659,2.4817378185772885
0032-PGELS,Female,-0.5677732238554163,Yes,0.0,Palomar Mountain,-0.7680939124590443,-1.169660291628086,1.3617558438174893,-0.30287752607834356,-1.2789877528891658,Offer B,No,0.01803606028197596,No,Yes,DSL,-0.3020730393369718,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,-0.833519714029658,-1.0606874927315495,-0.9928605990125452,0.0,0.0,-0.899567221540124,-1.0492665188577588,-1.599177137108223,-1.7169436438084795,-0.8882802324016493
0036-IHMOT,Female,-0.5677732238554163,Yes,0.0,Parlier,0.08721659013514795,0.1720634301465986,0.10934443699343765,2.1399663261245334,0.9214726720433777,Offer B,Yes,0.7109105212438791,No,Yes,Fiber Optic,1.86688789927055,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,-0.833519714029658,1.2852762901286399,1.4899735111271761,0.0,0.0,1.4404626446029125,1.5971458761610453,0.677557161790749,-0.214217897152195,-0.326610557238493
0040-HALCW,Male,-0.26925083440727016,Yes,0.0,Modesto,1.008237345447534,0.5732274346184834,-0.6275364665054443,0.4487667361379262,0.8807234049149972,Offer B,Yes,-0.42584822005618467,No,No,Fiber Optic,-0.1352298902133163,No,No,No,No,No,No,No,Yes,Two Year,No,0.8347040273488249,-1.3843792168693627,-0.5250441244230551,0.0,0.0,0.392111779914298,-0.3071060390525923,0.677557161790749,-0.214217897152195,-0.326610557238493
0042-JVWOJ,Male,1.044247679164573,No,0.0,Glen Ellen,1.0534804702698968,0.8795083292587312,-1.283941000802931,-0.6786996571864785,-0.2602560746796549,Offer C,Yes,0.908027747571009,No,No,Fiber Optic,-0.1352298902133163,No,No,No,No,No,No,No,Yes,One Year,Yes,-0.833519714029658,-1.410018165315922,-0.7980951985219581,0.0,0.0,0.2906036350359472,-0.5599556662417342,0.677557161790749,-0.214217897152195,-0.326610557238493
0042-RLHYP,Female,0.029271555040876,Yes,0.0,Eureka,1.0863355966289934,1.8389751597628288,-2.020270906134658,1.2004109983541962,1.4919624118407038,Offer B,Yes,0.9591596596633847,No,No,Fiber Optic,-0.1352298902133163,No,No,No,No,No,No,No,Yes,Two Year,No,-0.833519714029658,-1.4068132967601021,-0.3898755684691254,0.0,0.0,2.3167717742698337,0.35381479201680355,0.677557161790749,-0.214217897152195,-0.326610557238493
0048-LUMLS,Male,-1.4036359143102255,Yes,0.0,Moss Beach,0.29727395538183243,0.5339136659772878,-1.274503474487617,-0.30287752607834356,0.18798586373252987,Offer C,Yes,1.3015211580210309,No,Yes,Fiber Optic,1.86688789927055,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,0.8347040273488249,0.8846677206511485,0.4268064037024054,0.0,0.0,1.0326937415586948,0.6309534982356819,0.677557161790749,-0.214217897152195,-0.326610557238493
0048-PIHNL,Female,0.08897603293050522,Yes,0.0,Los Angeles,-1.8463883873920248,-0.8894520699408516,0.7122636209833543,1.2004109983541962,0.6769770692730951,Offer B,Yes,1.7883858862049564,No,No,Fiber Optic,-0.1352298902133163,No,No,No,No,No,No,No,Yes,One Year,No,-0.833519714029658,-1.3827767825914528,-0.608757722413458,0.0,0.0,2.0502643254737904,0.103799065430901,0.677557161790749,-0.214217897152195,-0.326610557238493
0052-DCKON,Male,-1.1051135248620794,Yes,0.0,Los Angeles,-1.8436953442478365,-0.8721745241155396,0.7294559707025166,2.1399663261245334,1.3697146104555624,Offer B,Yes,1.3578403655430682,Yes,Yes,Fiber Optic,1.5332016010232388,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,-0.833519714029658,-2.1022697733730267,2.4985083389989056,0.0,0.0,2.5875684278718913,2.7247727472664964,0.677557161790749,-0.214217897152195,-0.326610557238493
0052-YNYOT,Female,-1.1051135248620794,No,0.0,Calexico,-0.6759918369278057,-1.4204743259494097,2.0078515598369555,-0.6786996571864785,1.4104638775839429,Offer B,Yes,-0.1724117862070178,No,No,Fiber Optic,-0.1352298902133163,No,No,No,No,No,No,No,Yes,One Year,No,-0.833519714029658,-1.3795719140356326,-0.41348483305787903,0.0,0.0,0.9812961366220849,-0.0598787867963876,0.677557161790749,-0.214217897152195,-0.326610557238493
0056-EPFBG,Male,-0.8065911354139331,Yes,0.0,Redding,1.3556399110478197,1.8147596994419022,-1.1781177875249327,0.8245888672460612,-0.5047516774499374,Offer B,No,0.01803606028197596,No,Yes,Cable,-0.05180831565148853,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,0.8347040273488249,-0.7754541912635758,-0.6420754696368394,0.0,0.0,-0.899567221540124,-0.7715023277955022,0.677557161790749,-0.214217897152195,-0.326610557238493
0057-QBUQH,Female,-0.9260000911931916,No,0.0,San Martin,0.8401914532501863,0.35938874177912955,-0.8586349387179747,-0.6786996571864785,0.43248146650281244,Offer B,Yes,0.3848519513794541,Yes,No,Fiber Optic,-0.1352298902133163,No,No,No,No,No,No,No,Yes,Two Year,Yes,-0.833519714029658,-1.2337503947458257,-0.5340686003266066,0.0,0.0,0.7001817143465371,-0.22559383267557306,0.677557161790749,-0.214217897152195,-0.326610557238493
0058-EVZWM,Female,-0.5677732238554163,Yes,0.0,Stockton,0.9279846597507236,0.7481784848120524,-0.7387016232607219,0.07294460502979132,0.9214726720433777,Offer B,Yes,-1.5092519226511605,Yes,Yes,Fiber Optic,-1.1362887849552494,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,-0.833519714029658,0.8397995608696692,1.182324935275782,0.0,0.0,-0.5603163162887934,0.7707546022238408,0.677557161790749,-0.214217897152195,-0.326610557238493
0060-FUALY,Female,0.8054297676060559,Yes,0.0,Los Angeles,-1.8760118619780957,-0.9046362515605749,0.688817650954321,0.8245888672460612,1.0844697405568993,Offer B,Yes,-0.6711331896587407,Yes,Yes,Fiber Optic,-0.7191809121461106,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,-0.833519714029658,0.9984405543827559,1.4638929964132443,0.0,0.0,0.2745881753356427,1.233983785169609,0.677557161790749,-0.214217897152195,-0.326610557238493
0064-SUDOG,Female,0.08897603293050522,Yes,0.0,Huntington Park,-1.7402824875110072,-0.8990062846307224,0.7146463283059905,0.4487667361379262,-0.8307458144769809,Offer B,Yes,-0.4569719926341524,No,No,Fiber Optic,-0.1352298902133163,No,No,No,No,No,No,No,Yes,Two Year,No,-0.833519714029658,-1.3875840854251824,-0.9072494339617376,0.0,0.0,-0.6186470732260658,-0.900631751830156,0.677557161790749,-0.214217897152195,-0.326610557238493
0064-YIJGF,Male,0.8054297676060559,Yes,0.0,Yermo,-0.5860441959119178,-0.4796573938109761,1.3566492466508613,1.952055260570466,-0.21950680755127444,Offer C,Yes,-0.013828754500229195,Yes,Yes,Fiber Optic,0.031613258910339226,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,-0.833519714029658,0.38951552877696904,-0.1550626771106992,0.0,0.0,-0.07145017644523312,-0.14754800040263935,0.677557161790749,-0.214217897152195,-0.326610557238493
0067-DKWBL,Male,1.342770068612719,No,0.0,San Diego,-0.7309299170692463,-1.310941312243246,1.2170081146945113,-0.6786996571864785,-1.2382384857607853,Offer B,Yes,1.3741432940362894,No,Yes,DSL,0.3652995571576503,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,-0.833519714029658,-0.4597746385153126,-0.9661181423007981,0.0,0.0,-0.7927408269659935,-0.997347782528623,-1.599177137108223,-0.214217897152195,-0.045775719656914904
0068-FIGTF,Female,-1.582749347979113,No,0.0,Fremont,0.5671168784294964,0.5344139184528888,-0.9945044951831112,-0.6786996571864785,-0.21950680755127444,Offer C,Yes,1.7387360585210552,No,Yes,DSL,1.86688789927055,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,0.8347040273488249,0.46803480839455747,-0.08889054206240758,0.0,0.0,0.7038850617374338,0.12797982026988466,0.677557161790749,-0.214217897152195,-0.326610557238493
0071-NDAFP,Male,-0.9260000911931916,Yes,0.0,Santa Rosa,1.0335519510029034,0.9082483403103919,-1.3517945451018396,-0.30287752607834356,-0.3010053418080353,Offer B,Yes,-0.13017238056549,Yes,No,Fiber Optic,-0.1352298902133163,No,No,No,No,No,No,No,Yes,Two Year,No,0.8347040273488249,-1.220930920522546,-0.7280396704198153,0.0,0.0,-0.18045001096352928,-0.6481420405006116,0.677557161790749,-0.214217897152195,-0.326610557238493
0074-HDKDG,Male,-0.030432922848753225,Yes,0.0,San Jose,0.8832801435571984,0.4575646065695987,-1.0027216557179446,1.2004109983541962,-0.3010053418080353,Offer B,Yes,-1.4077291406706465,No,Yes,Cable,-0.3020730393369718,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,-0.833519714029658,-0.06397337187155108,-0.29539438064758994,0.0,0.0,-0.7037754947263192,-0.45633134763623395,0.677557161790749,-0.214217897152195,-0.326610557238493
0076-LVEPS,Male,0.6263163339371682,No,0.0,Tujunga,-1.3163974966157748,-0.769975981320872,0.7017890854806699,-0.6786996571864785,-0.1380082732945136,Offer B,No,0.01803606028197596,No,Yes,DSL,-0.1352298902133163,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,0.8347040273488249,-0.5959815521376596,-0.45803352951086374,0.0,0.0,-0.899567221540124,-0.6300553949736493,0.677557161790749,-0.214217897152195,-0.326610557238493
0078-XZMHT,Male,-1.6424538258687422,Yes,0.0,Visalia,-0.10506669035989402,0.07871267263495824,0.1781769662413849,1.2004109983541962,1.614210213225845,Offer B,Yes,0.5123112105082748,Yes,Yes,DSL,1.86688789927055,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,-0.833519714029658,0.6907731730240427,1.78098527810014,0.0,0.0,1.9294502056724039,1.9613143338278616,0.677557161790749,-0.214217897152195,-0.326610557238493
0080-EMYVY,Female,1.044247679164573,No,0.0,Lodi,0.9446815272446909,0.7801869470585495,-0.6509829007283764,-0.6786996571864785,-0.74924728022022,Offer B,Yes,-0.1042359034171836,No,Yes,Cable,-0.8860240612697661,No,Yes,No,No,No,No,No,Yes,One Year,No,0.8347040273488249,-0.389267530287274,-0.685123764228109,0.0,0.0,-0.4909119435466099,-0.6879843767251915,0.677557161790749,-0.214217897152195,-0.326610557238493
0080-OROZO,Female,-0.508068745965787,No,0.0,El Portal,0.9866930002940277,0.5902153605895005,-0.03077620726844494,-0.6786996571864785,0.10648732947576901,Offer C,Yes,0.8131743454286308,No,Yes,Fiber Optic,-1.7202398068880438,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,-0.833519714029658,1.1426596393946529,0.5523326712214889,0.0,0.0,0.6481891454028651,0.6196947710548717,0.677557161790749,-0.214217897152195,-0.326610557238493
0082-LDZUE,Male,0.4472029002682806,No,0.0,Calistoga,0.5541902713373927,0.9851786647403405,-1.3167010215681147,-0.6786996571864785,-1.2789877528891658,Offer E,Yes,1.2970749047956072,No,Yes,DSL,-1.1362887849552494,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,0.8347040273488249,-0.6184156320283992,-0.9867707326326423,0.0,0.0,-0.8474168050027415,-1.0294362032925517,-0.46080998765873704,-0.214217897152195,-0.326610557238493
0082-OQIQY,Male,0.20838498870976369,No,0.0,Farmington,0.9392954409563143,0.7127111918860832,-0.5135708279115796,-0.6786996571864785,-0.1380082732945136,Offer B,Yes,-1.7337877105350714,No,Yes,Fiber Optic,-0.4689161884606273,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,-0.833519714029658,0.9808137773257464,0.144399882701043,0.0,0.0,-0.8273823027241196,-0.12098061903836281,0.677557161790749,-0.214217897152195,-0.326610557238493
0083-PIVIK,Male,-1.284226958530967,No,0.0,Tulelake,1.4261976414255522,2.274859116417783,-0.8058324176470342,-0.6786996571864785,1.2882160761988015,Offer B,Yes,-1.4788691922774302,Yes,Yes,DSL,1.86688789927055,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,No,-0.833519714029658,0.5657832993470653,1.4506100269904132,0.0,0.0,-0.4729416021088157,1.0223148221101526,0.677557161790749,-0.214217897152195,-0.326610557238493
0089-IIQKO,Female,-0.6871821796346748,Yes,0.0,Coleville,1.4116552084469356,0.902408955947433,0.13041187744499028,-0.30287752607834356,0.26948439798929075,Offer B,Yes,-0.0790404684731144,Yes,Yes,Fiber Optic,1.86688789927055,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,0.8347040273488249,1.1650937192853923,0.6562134354120048,0.0,0.0,0.25493007885740715,0.5887769504168187,0.677557161790749,-0.214217897152195,-0.326610557238493
0093-EXYQL,Female,1.5218835022816066,No,0.0,Ojai,-0.2494138028883849,-0.6546408490232092,0.3828372745028736,-0.6786996571864785,0.31023366511767114,Offer B,Yes,1.3852589270998492,No,Yes,Fiber Optic,0.031613258910339226,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,-0.833519714029658,0.895884760596518,0.6148199958152741,0.0,0.0,1.2442459434983488,0.8407110634776637,0.677557161790749,-0.214217897152195,-0.326610557238493
0093-XWZFY,Male,0.2680894665993929,No,0.0,Desert Hot Springs,-0.6706057506394292,-0.957833950447665,1.6273295332801425,-0.6786996571864785,0.31023366511767114,Offer B,Yes,0.9072867053667714,Yes,Yes,Fiber Optic,-0.6357593375842828,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,0.8347040273488249,1.3109152385751992,0.7751202829529331,0.0,0.0,0.9309791805962612,0.877488873402563,-1.599177137108223,-0.214217897152195,-0.326610557238493
0094-OIFMO,Female,1.880110369619382,No,0.0,North Hollywood,-1.0131608385801762,-0.8061395770853494,0.6297540824710026,-0.6786996571864785,-0.8714950816053614,Offer D,Yes,-1.026833447692659,No,Yes,Fiber Optic,0.5321427062813058,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,-0.833519714029658,1.0064527257723057,-0.5119376728663078,0.0,0.0,-0.7447673006006389,-0.5819734315943984,-1.599177137108223,1.2885078495040896,4.166746844066757
0096-BXERS,Female,-0.9857045690828209,Yes,0.0,Inverness,0.7814831127068821,0.7703759225957801,-1.4803326230059506,2.1399663261245334,-1.0752414172472635,Offer E,Yes,1.275584680872724,Yes,Yes,Cable,1.86688789927055,No,No,No,No,No,No,No,Yes,Month-to-Month,No,-0.833519714029658,-0.42452108440129327,-0.8675108493595458,0.0,0.0,-0.5887774516470295,-0.8605692728953368,0.677557161790749,-0.214217897152195,-0.326610557238493
0096-FCPUF,Male,0.6860208118267975,No,0.0,Santa Rosa,1.033013342374066,0.9435880384753806,-1.3704918114662359,-0.6786996571864785,-0.09725900616613314,Offer B,Yes,-1.6900662204850692,Yes,Yes,DSL,-0.6357593375842828,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,2.5029277687273073,0.028967816247226864,-0.17295717578497882,0.0,0.0,-0.8034016106027388,-0.3723626281592427,0.677557161790749,-0.214217897152195,-0.326610557238493
